kanji,story
一,"One down, 2041 to go. ;).","This one is too difficult to remember. If the other Kanji are this difficult, I'm giving up.","One Line to Rule Them All, One Way to Write it; One Stroke From Left to Right, and With a Pen Lift, Bind it."
城,The sand castle is just the 土 (#161) that turns into a castle.,"""Someday this mound of dirt here will turn into our CASTLE"", the ants think to themselves when scoping out a new ant hill.",Sand sculptors can turn even the most ordinary soil into the most beautiful castles.
誠,Sincerity happens when what you say actually turns into something.,Sincerity is turning your words into actions.,"Words turning into actions is a sign of true sincerity . You do what you say (せい) you will. Marco and (まこと) his Brazilian friends need to learn this - they say they won't smoke pot inside anymore, but still do it -- that's not being very sincere."
威,The march of women - against intimidation in the workplace - is pretty intimidating in itself!,"Interesting that this kanji also has the meanings of ""dignity"" and ""threaten."" I can see how a march of women in Japan would be seen as intimidating by most men.","I use Grim Reaper instead of march for the primitive, because he's the one holding the scythe (see [360]). Now imagine a female Grim Reaper - that's even more intimidating!"
滅,Water flows down to destroy the march of fire.,"Use a water cannon to destroy a line of marching fire monsters. I keep mixing this one up with 災 (#179) and 壊 (#427). Remember, you DESTROY monsters (think of the Godzilla movie ""Destroy All Monsters!""). Fires and floods are natural DISASTERs. And DEMOLITION is something you carefully do while wearing protective garments. (vaguely based on stefanot's balrog story).","Lord of the Rings: Orcs, all carrying torches (in the night, for visuals) and intent on destroying everything in their path, are utterly destroyed by the releasing of the waters (by the Ents)."
減,"When WATER was tossed on the PROTESTORS (a march of mouths), the numbers began to DWINDLE.","When water supplies dwindled, the population became a horde of dry mouths, marching to seize the water in the neighboring kingdom.","When water supplies dwindled, one mouth raised a cry and led a march on the city!"
蔑,"They gays were reviled by society, so they put flowers above their eyes and marched around.","Note: Whether you see a ""drop"" or a ""one"" in the bottom left of 蔑 depends on the font your computer is using at the time. Newer fonts prefer the ""one"".","The hippes, with flowers above their eyes, looked down upon and reviled those who marched into war."
桟,Japanese festival floats are often so tall they need wood scaffolds to be completed. (http://www.japan-guide.com/e/e5909.html).,You need a SCAFFOLD made of WOOD to build a FLOAT if it will be several stories high.,"HINT: Near as I can tell from the Zhongwen site, the figure that Heisig designates as a ""float"", actually means ""lances broken into pieces"" (though there's a third stroke in the Japanese version of the kanji rather than two in the Chinese), thus I'm using broken into pieces to identify that particular pictograph. STORY: A scaffold is made of WOOD BROKEN INTO PIECES."
銭,Interesting fact: The Japanese one yen coin is the only coin in the world that can float on water. http://www.hanamiweb.com/floatingyen.jpg.,Gold coins will not float.,Think of the gold coins floating in Super Mario games.
浅,The water can't be too SHALLOW if you expect to float.,The water is too SHALLOW to float in it.,"A parade float full of devout Christians is attempting to recreate Jesus' walking on water phenomenon. They claim to be able to do it because of faith, but only reason they are managing to do it is because the water is shallow."
止,"If you find in the ground a walking stick with a magic wand, STOP! Maybe it's some kind of macumba/black magic/voodoo bad thing.",This looks like a little police officer sticking his hand out (first two strokes) signaling for cars to stop as a schoolboy/girl is following behind (third stroke). The final stroke is the road.,"Gandalf took his magic wand, which looked like an old walking stick, and stuck it in the ground, before bellowing, "" STOP! YOU SHALL NOT PASS!"""
歩,"When walking your pet, you must stop a few times along the way when nature calls.","When you learn to walk, you take your steps a few at a time. Picture a clumsy but happy toddler who falls every few steps but keeps getting up to try again.",When you take a walk you should stop a few times to smell the roses.
渉,"A ford is a place where one can walk through the water, a place only a few footsteps deep.",Fording is simply walking through water.,The new Ford Jesus. It can WALK on WATER. (edit on ngoli1. I think negations make stories hard).
頻,I repeatedly walk around hoping this kanji will come into my head. I repeatedly walk around hoping this kanji will come into my head. I repeatedly walk around hoping this kanji will come into my head. I repeatedly walk around hoping this kanji will come into my head. I repeatedly walk around hoping this kanji will come into my head.,"Are you familiar with the joke about the ditzy secretary who repeatedly walked back and forth forcibly over all the pages of her boss' most important letters. When confronted she just says ""Well you said they needed to be stamped before they're mailed.""",FACT: Saddam Hussein put a mosaic of Bush on the floor of the Al Rashid hotel so as people would be forced to repeatedly walk on his head. http://en.wikipedia.org/wiki/Al-Rashid_Hotel.
肯,A secret agreement between a covert gov't agency and aliens states that we will not step foot on the moon again in return for alien technology.,The peace agreement put a stop on the fighting for a month.,Neil Armstrong had an agreement with NASA: I will be the first one to leave a FOOTPRINT on the MOON. REMEMBER the position: the FOOTPRINT is over the MOON.
企,Mary Poppins floated down with her umbrella to undertake the job of stopping the children's misbehaving.,"In Resident Evil, you UNDERTAKE a mission to STOP UMBRELLA from infecting the country with the T-Virus.",The Undertaker is an evil WWE wrestler - he beat his opponent with an umbrella until he stopped moving.
歴,A CURRICULUM is a calendar that replaces days with reasons to stop having fun.,"A curriculum (vitae) is similar to a calendar except that, instead of mentioning every day in your life, it only mentions the main stops. (Compare 暦 (#226)).","A little like a calendar, your CV records your footsteps through time."
武,ONE-ARROW can STOP a warrior.,A great warrior can stop any 0pponent with one arrow.,"The traditional warrior carries a quiver of ARROWS. But the warrior must never forget his real purpose: to STOP conflict, not cause it."
賦,A warrior stands guard at a bridge collecting shells as a levy for any who want to pass.,A levy is money collected to fund kingdom's warriors.,"""Drove my Chevy to the levy but the levy was dry. And those good old warrior boys, drinking whiskey and rye, said pay up the clams or you'll die. Pay up the clams or you'll die..."""
正,If you do it correct on the first attempt you can stop.,My (Japanese) wife tells me that Japanese people use this kanji to tally up numbers (instead of 4 vertical lines and a diagonal across). I remember this one by writing the kanji while counting out the strokes to myself and saying this is the correct way to tally numbers.,The correct way to tackle any problem is one step at a time.
証,Your words must be absolutely correct if you plan to use them as evidence.,"""If what you say is indeed correct, we could use use your testimony as evidence"".",Evidence proves that your words are correct.
政,Those involved in politics are always trying to elect the correct taskmaster.,"Insane political correctness on the left, and facists taskmasters on the right- thats politics in a nutshell right there.",Politics is all about electing the correct taskmaster.
定,"In The Karate Kid, the boy must prove his determination by MENDING his teacher's HOUSE in various ways.","Prior to buying a home, the home inspector will come into your house and determine everything that needs mending.","定める 【さだめる】 (v1,vt) to decide; to establish; to determine; (P)The primitive ""mend"" is too arbitrary and I can never remember it. New primitive meaning: CORRECT PERSON: Do you see the 4th and 5th stroke? They look like the kanji for ""person."" Therefore, CORRECT + PERSON = CORRECT PERSON. STORY: I DECIDED/DETERMINED I would fix my HOUSE this summer but am still looking for the CORRECT PERSON to do it (i.e. a contractor)."
錠,"Even if you lock up your GOLD, a DETERMINED thief will get it in the end.",A lock is a piece of metal that will determine who can or can't get in.,A LOCK is metal that is determined to keep intruders out.
走,"Hint: This kanji is NOT soil on top of mend, as Heisig claims - that would duplicate one of the strokes. Instead, it is 10 on top of mend. So my story is: If you run 10 miles, you will need to mend your socks!",The sports ground needs MENDING after the game as the players have been RUNNING around which has caused the ground to be chopped up.,The soil needs mending after the cross-country run.
超,"A successful marathon runner needs to be able to transcend seductions, such as the possibility of rest, shelter from the rain, or a cold beer.",To transcend to a higher path you need to run from the seduction of earthly desires.,"To transcend oneself is to reach a higher plane of reality. A head shaven monk is telling me this. We are in a Tibetan monastery. He was once an athlete, a runner. He used to run everywhere, until one day, he saw a beautiful cheerleader along his path. She tried very hard to seduce him, but he forced himself to transcend his urges. He did reach his running goal, and he has became a lonely monk. He wishes now he had just broken down back then and...."
赴,"""Don't run into trouble,"" Dumbledore tells Harry. ""Proceed with caution with your wand out.""","You go through airport security. ""Proceed,"" mumbles the guard after he wands you. You run like crazy, because you're late for your flight.","While running, my magic wand tells me where to proceed."
越,The person in charge of running the parade surpassed all our expectations (by just a extra drop...),The parade of runners are all trying to SURPASS each other - and they end up running all the way to Vietnam (note that this kanji is also used for the country of Vietnam).,A RUNNER will always SURPASS a PARADE.
是,'Sun' 'Mend' - It just so happens that sunshine can mend your gloomy spirits.,I spent all day mending to make things just so.,My image here is of Fabrice (the guy who runs this website) spending all day obsessively mending the code so this page looks just so...
題,"The ""TOPIC"" of the day's newspaper must be placed JUST SO at the top of the PAGE to attract attention.","You spend ALL DAY, mending your socks JUST SO. Then you have a look at the HEADING of the newspaper. The topic---FREE SOCKS TO BE GIVEN AWAY!!!!","Topic; subject. Combine this (是 - これ) with page (頁) and you have this page. A topic or subject is information on this page (i.e. the current page). Think of the page figuratively as any sort of information - it does not have to be a page - it could be what you are thinking about or discussing. If the sun is shining, you can read the page correctly and understand the topic."
堤,Making a dike is all about arranging the soil just so...,"The little Dutch boy has his finger stuck in the dike, and that's the only thing keeping his town from going under. He really really needs to go to the bathroom though, so he devises a plan to carefully add a bit of dirt - there, place individual bits in just so - there, I think it's good enough. Pull it out -----yes! Success!","Imagine Indiana Jones replacing a gemstone with a small bag of soil. If he doesn't weigh the soil just so, a huge dike behind the wall will break, washing him away."
建,"Build is easy to remember if you can remember that archtiechts have two steps in building. 1. Take a brush and brush out the blueprints. 2. Get a visual image of the blueprints all rolled up like they usually are. The second step is easy, it's just the architecht stretching out the blueprints and showing it to his clients.","A construction worker's classic morning. Stretch, brush his teeth, and then start to build.","To build a skyscraper, you have to stretch it upwards until it brushes the sky."
鍵,The metal thing you need in order to enter things you build is a key.,"In Zelda, the gold key will let you into any building.","鍵盤鍵 (#418) ケン, かぎ ... Parts: 金, 建 (cf 建物建 (#417), 健康健 (#1048)) ... Story: The most important Metal in any building is the lock on the front door, and without a key you ain't getting in. This kanji means both lock and key to most Japanese people. 錠前 is technically the word for lock but it's not used in daily conversation."
延,Stretching correctly prolongs life. Even the top part of 正 is stretching...,"Here's a great mnemonic: ""stop, drop, and stretch (!?)."" Now let's associate it with 'prolong': if you're ever in an uncomfortable spot, like being asked tricky questions or caught in a lie, just PROLONG the situation - stop, drop, and stretch. They may be confused by your odd behaviour, but it'll buy you a few moments to think up another good lie to get out of the sticky situation!",The inquisitor prolonged the torture because his victim didn't answer the question correctly. He turned the wheel stretching out his limbs even further.
誕,"Nativity = born, being born. Think of birth as a painful and prolonged event. And of course, all the words and curses being yelled at the soon-to-be father for doing this to her!","When you are being born ( nativity ), your mother's WORDS are PROLONGED. (Thiiiiiiiiiiiiiiiiiiiis huuuuuuuuuuuuuurtss a lottttttttt~!! Owwwwwww!!!)","At Nativity (christmas), the priest says more Words (sermon) than the rest of the time, Prolonging mass duration."
礎,Features like stones and groves of trees are the cornerstones of a happy zoo.,"A zoo which is still under construction is already full of animals. At the moment, only the cornerstone has been set in place. To temporarily keep the animals from escaping, a closely-packed grove of small trees is planted around the stone. (Note that this zoo needs some serious mending.)",Stone Grove Zoo is the new cornerstone in animal exhibits! If you love animals you need to check out Stone Grove Zoo!
婿,"The only reason anyone talks about a bridegroom is if they're about to or have just gotten married. Of course, then you have to go on your honeymoon. So you take your woman to the zoo for a month. Pretty cool honeymoon.","Imagine a bridegroom having his wedding with his woman in a zoo on the moon. That will impress her! Fill out the details with the bride and groom floating with a menagerie of animals with astronaut helmets floating, bumping and attacking one another.",The bridegroom will take his woman to the zoo for a month long honeymoon. (Simplifying dihutenosa).
衣,The only garments allowed in this club are top hat and scarf.,"The garments most commonly associated with the craft of a magician are the top hat and the magic wand. (It's a stretch, but the way I remembered this kanji is through that phrase. This way you can remember it through using primitives we have already learned.)",A snowman wears a top hat and a scarf for garments.
裁,The tailor was hard at work making sure all the pilgrims were dressed in their best garments for thanksgiving.,The tailor worked hard after thanksgiving to alter garments so they'd fit people who'd eaten too much at their thanksgiving dinners.,My TAILOR made me 10 garments for the upcoming fiestas.
装,The TURTLE SAMURAI needs special GARMENTs for his ATTIRE since his body is much more ROBUST than others.,Attire is more robust than a garment.,"The ninja turtles tried to go eat at a fancy restaurant, but they were told to come back after their were dressed in proper attire. However, it's too difficult for them to find proper garments because they bodies are so robust! (sannomiya + drwarrior12)."
裏,The computer had carefully dressed up in clothes to look human. It was n't until I looked at the back and saw the cables and stuff that I realized what it was.,"I'll be back ! says the computer Terminator, disguised with a top hat and a scarf.",The COMPUTER wore a TOP HAT and SCARF to hide it's cables at the BACK. (裏　うら　bottom/back/reverse).
壊,"If you stand too close to a DEMOLITION site, the dust might sting you like NEEDLES in your EYE and get your GARMENTs all dirty.","Since that needle eye thing turns up a lot, I turned it into Darth Vader. It kinda looks like him to me, with the eye being his metal mouth piece thing. So, Darth Vader swings his cape (his garment) demolishing a nearby building, leaving nothing but a pile of dirt.","During demolition, dirt and debris can feel like needles in your eyes if you're not wearing ther proper garments."
哀,One of my friends with a crazy sense of fashion loves to wear a tophat and a scarf so that you can't see his whole face but only his mouth. He thinks it's cool. I think it's pathetic.,"A poor, homeless child like Oliver Twist, with a hungry open mouth, is pathetic-- in the original sense of the noun ""pathos."" The tattered tophat and scarf he wears only adds to the pathos.","Other definitions include grief, sorrow, pathos, pity, and sympathize. IMO the english word pathetic is often used nowadays to mean a sort of ""contemptuous pity"" but I think we need a more compasionate definition to understand 哀 , now and especially later when it starts being combined with other words...So, here's the top part of frame 308 享 (receive) but where the child was is now replaced by a scarf. Whatever fate befell the child is up to your imagination. grief, sorrow, pathos, sympathy, pathetic."
遠,Keep distant from a lidded crock on the road wrapped in a scarf. It might be a bomb.,"The upper right part means long kimono. 袁 is not in Heisig list, but if you remember it, you have an easier time later on. ""Long kimono"" is easier than ""lidded crock with scarf."" For its story look at Kanji 34945. Story for 遠: In distant lands down the road, they were Long Kimonos. As supposed to here in Shibuya, where girls with prurient interests wear mini kimonos.","When traveling to a distant land, what better way of keeping warm on the road is there than carrying a warm lidded crock and wearing a scarf?"
猿,The MONKEY likes to play hide and seek with the PACK of WILD DOGS by hiding in the LIDDED CROCK. But he is easy to see because the SCARF he always wears is at the base of the LIDDED CROCK.,"To catch a monkey, chase him with wild dogs into a lidded crock, then tie it with a scarf.","Honestly, I hate the ""Lidded Crock with a scarf"" metaphor. It makes no sense, and I just can't get an image that ""sticks"" with it, at all. Besides, it sounds retarded. The original meaning of the whole right side of this Kanji is ""Long Kimono."" So, put a wild dog in a kimono, stand him on two legs, and you've got something that looks like a man but still feral - a monkey."
初,"""This is the first time we've been out of the Shire, Mr. Frodo!"" Says Sam, covering himself with his cloak and clutching his dagger.","Not only did I put on my robe and wizard's hat for my first time, but also my cloak and my dagger. That's when she walked out on me.","The CLOAK and DAGGER trick only works the first time, when the element of surprise is there. Anyone would be a fool to fall for it twice."
巾,"If it looks like a towel, speaks like a towel and walks like a towel... I wonder why Heisig didn't include this one (as an actual kanji) in RtK 1.",A pictograph of a person wrapping a towel around their waist.,Obvious towel is obvious.
布,A matador holding his red linen by his side.,"The first rule of the Hitch-Hiker's Guide to the Universe is ""DON'T PANIC!"" The second rule, of course, is to always have a towel by your side. Personally, I prefer the linen sort.",A linen towel should always be by your side just in case .
帆,A towel makes a mediocre sail.,"When stranded at sea, we needed a Sail. The best we had was a TOWEL, which was MEDICORE, only catching a DROP of WIND.",A sail is a piece of cloth used to catch every drop of wind.
幅,"In the west, the rich use $100 bills to light their cigars... In Japan, after showering, when the wealthy don't have any clean towels, they simply grab a hanging scroll off the wall and use it to dry off!",The towels of the wealthy: hanging scrolls.,Check out http://en.wikipedia.org/wiki/Hanging_scroll to get a visual image of a hanging scroll. The wealthiest man in Japan uses such precious hanging scrolls as towels.
帽,"If you wear a towel as a cap, you are at risk of being seized and searched in U.S. airports.",Originally the first cap was a turban which was a towel wrapped around the head to keep the sun out of the eyes.,"Because it's a risk to stay under the sun in the desert, Arabs use to wear a towel as a cap."
幕,"There is a graveyard outside my house that scares me, so I put a huge towel over the window to serve as a curtain so I can get a good nights sleep.","When a mobster says ""It's gonna be curtains for you!"" He means you'll be wrapped in a towel, dead in a graveyard.","If you've read Harry Potter and the Order of the Phoenix (SPOILERS AHEAD!)...think of the curtain in the depths of the Department of Mysteries, and what happens when Sirius encounters that curtain. (Well, yes, it's technically a veil, but since Heisig doesn't use that as a keyword, think of it as a really big...um...towel.)"
幌,A canopy is a towel to block the suns rays.,"From the Hitch-Hiker's Guide to the Universe: A towel is useful, among other things, as a canopy to keep out the sun's rays from your face while napping.",Picture a cafe in wartime Japan. Its' canopy is made of a big beach towel which has the imperial flag (the one with the sun's rays) printed upon it.
錦,Brocade is the art of sewing gold on a white towel.,"Never heard of this word before encountering it here. So it turns out that the fanciest brocade in the world is actually a towel used by a Turkish monarch. It's embroidered with gold and cocaine. Yes, cocaine - what you thought it'd be something else? That is some true art right there. I think a great many people would want to own this towel.","""Brocade"" means 'twisted thread', and is usually made with gold and silver. Here it is written as a towel woven with gold and white."
市,"My recurring nightmare: Walking through the market, and suddenly realizing that I'm wearing only a top hat...and a towel.",At the MARKET you find lots of nice TOP HATS and TOWELS.,"An investor gets a tip while in the shower. With no time to loose he runs down to the stock market, only wearing a bath towel. And the top hat, of course, according to the dress code at the stock exchange."
柿,"Nobody buys persimmons at the market, because there's a tree in the middle where you can pick them for free.",Persimmon = かき - they grow on trees and are sold at the market.,The tree growing in the market bears persimmons.
姉,"Unlike the younger sister (妹), who is not yet old enough to date... the elder sister is on the market!",She's old enough to be allowed to go to the market.,My ELDER SISTER is a WOMAN who works at the MARKET.
肺,"The PART OF THE BODY most important if you work at a MARKET is your LUNGS so that you can shout out at the top of your voice ""IRASSHAIMASEEE"" to attract customers.",LUNGS are a PART of the BODY that can be found at any meat MARKET or black MARKET.,"So that I could breathe when I got there, I visited the moon market to buy a new set of LUNGS for my trip to the moon."
帯,"Heisig fails to go into detail about the top kanji, but, It's not a mountain like everyone is saying. It actually means Thirty 丗 the stroke order starts with a One, then draw in the three vertical lines from left to right. Then the last stroke at the bottom closing it up. Then comes the Apron which makes up a Sash. (-Story: I made a Sash out of Thirty cut up Aprons.","WARNING: Try to avoid thinking of the upper element as a combination of one and mountain, because in this case you will get used to the incorrect stroke order.","The buckle is on the sash of the apron. (Note that according to the dictionary, breaking down this Kanji includes only the radicals for ""walking stick"", ""one"", ""crown"" and ""towel"". Hence, ""mountain"" is not part of the radicals.)"
滞,"History of the first karate blackbelts: In those days, it was often difficult to find fresh, clean water, so samurai usually had to wash their sashes in stagnant puddles. The longer one had been studying martial arts, the older the sash on one's karate uniform and, therefore, the darker the color. So why weren't their karate uniforms black too? Never seen a ninja????",A moat is a stagnate ring of water like an obi (sash) of water tied around the castle.,The water became stagnate because the drain was clogged with a sash.
刺,"A TREE with a BELT wrapped around the middle. If you tighten the BELT, hundreds of tiny SABERS pop out of the tree in all directions, looking like THORNS.",The BELT TREE has THORNS like SABERS.,The tree was covered with a belt of thorns. They cut like a sabre!
制,The system for making leather belts involves slicing up a cow with a sword.,"Why all the gore and violence? How about a samurai cow? He doesn't have to be a violent samurai, either. He only wears the sword because he's part of the bushi SYSTEM. Actually, he studies ikebana, shodo, and zen. Imagine him sitting cross-legged in a Zen temple (a very Special Zen temple). The master asks him if a dog has buddha nature and, shifting the swords in his belt, he calmly replies, ""Moo!""","Gary Larson cartoon of the feudal Japanese system: cows walking around with belts, complete with katana sabers. The Sa-MOO-rai class system."
製,Made in... is a system of labels you can find on every garments.,A SYSTEMATICALLY made GARMENT will no doubt have MADE IN on the label.,We have a system in the US where all garments have labels saying what country they are made in.
転,The REVOLVING wheels of the car (with REVOLVER blaring on the stereo) kicked up RISING CLOUDS of dust.,"Just a note to remember the cloud primative: The name of Goku's pet cloud that he used to help him rise (fly) in the Dragonball anime series (and also the scientific name for a certain type of cloud) is Nimbus [ http://www.rpgclassics.com/shrines/gba/dbztlog/screen2.jpg ]. The katakana-ization of this is ニムバス, so the rising cloud primative is just an abbreviation of that name written from top to bottom in the old Japanese style.",Burnout! As the car's wheels revolve the rubber burns making a rising cloud of smoke!
芸,"Imagine an old Kung-fu movie: ""Try my rising cloud flower technique!!!"" smash pow crack!! .","Illusionists have a technique, they make flowers disappear, leaving only a rising cloud of smoke.","If you watch BLEACH, you know one of the most powerful TECHNIQUES is Byakuya's Bankai: senbonzakura kageyoshi. It looks exactly like a RISING CLOUD of FLOWERS."
雨,From the ceiling hangs a towel dripping four drops like RAIN.,"The rain falls from the sky, landing like teardrops on my windows.",It rained so hard that we had to put a towel under the ceiling to contain the drops that came through.
雲,Every rising cloud is a potential rain cloud. (Thanks astridtops).,Every cloud is a potential rain cloud.,A cloud represents the stage of the earth's water cycle between when rising clouds of water vapor head for the sky and when rain falls.
曇,Cloudy weather is when a cloud blocks the sun (up above).,"I have difficulty remembering that the rain is ABOVE the clouds, which is not its logical spot. This is cloudy weather, not rainy weather. So I imagine the sun raining down on the clouds instead.","The sun is above the clouds, the definition of cloudy weather."
雷,"If it's raining and you're standing in the middle of a rice field, you're sure to soon become acquainted with the thunder up close and personal.","Thunder is a sure sign of rain coming. When you hear the thunder, you've got time to get out of the field before it starts raining.","I've been told by Japanese people that this word, 雷（かみなり）　means BOTH thunder and lightning together. Though there is no individual word for thunder, there is for lightning (いなずま）, so I understand where Heisig is coming from. Just remember a powerful storm over an empty field and you're sure to remember this kanji."
霜,"FROST is kind of an inter-weather, phenomenon, something between rain, snow and freezing temp’s.",The inter-action between rain and cold makes frost.,"The freezing RAIN formed FROST on the TREE right before your EYES. If you want, frost-y then think Frost Tree to get to the mnemonic. SECOND STORY: FROSTY the snowman? It's RAIN that FROSTS that can then INTER-act with the kids, till he melts of course."
冬,"Don't slip off your legs in winter, strap two skis to your feet.",In winter my walking legs feel like blocks of ice.,"In Winter, there's ice beneath your walking legs! Be careful, even just two icelets could slip you up!"
天,"If you think of the sky as a ceiling above our heads, here you have the heavens as the largest ceiling you could ever imagine. As Heisig pointed out, nothing comes above the ceiling primitive thus the order of primitives is taken care of.","The ceiling that all large dogs aspire to go to is known as heaven. After all, All Dogs Go to Heaven.","Tip: 天 and 夭 (heavens and sapling) are different, but RTK confuses them sometimes. The latter appears in numbers 634, 938, 2078, 2079, 2080, and all characters containing angel 喬 (429, 430, 1221, 2104, 2120, 2369)."
妖,"If you don't want to get bewitched (and who would?), then avoid any woman you see carrying what might appear to be a sapling. It's really a wand in disguise, and if you're not aware you might get bewitched.","sigh. For some reason, Heisig never seems to understand the difference between 夭 and 天. This uses the former, which means young/sapling. Surely it's not hard to imagine a young witch messing up a spell and accidentally bewitching everyone around her?","I was bewitched by the woman fairy (like an angel, but not as tall)."
沃,You use water to irrigate your saplings.,Water from the heavens is nature's way of irrigating.,If you need your plants IRRIGATED call the WATER WITCH. Dial 1-800-H20-WITCH Today!
橋,"A small 5 year old child has lost her mother in a tragic death. Her family tells her, ""Don't worry, your mom is an angel now, in heaven, watching over you."" The small girl takes this very literally and is found one day, gathering pieces of wood. Her dad asks her, ""What are you doing with that wood?"" ""I'm trying to build a bridge to heaven to visit the angels.""",The wooden bridge is guarded by an impressively tall angel.,"ANGEL primitive: On the bottom there is a HOODED MOUTH, which you can think of as a NUN; and shes praying to an ANGEL, which is the HEAVENLY MOUTH above."
嬌,"The most attractive of women are said to resemble angels. Similarly, angelic women tend to be attractive.","Be careful not to confuse this with exquisite (women + few - frame [123]). I try to keep them distinct by remembering that all women angels are attractive, but few women are truly exquisite.",Just because a woman is attractive doesn't mean she's an angel.
立,A vase that can't stand up won't be a vase for long.,This is a real stand up vase. It even wears a top hat!,Stand up a vase on a table and put a top hat on it and then represent it pictographically and there you have this kanji!
泣,"Guys have two ways of watering when they are standing, the less common one is crying.",She stood up to leave the room when her eyes started to water...,If you cry really hard you can fill up a vase with the water from your tears.
章,"In the military, badges are given out early in the day, with everyone standing at attention.","Ash Ketchum stood up early in the morning, and said, ""Pikachu, let's go get us another badge!""",Those who STAND UP EARLY receive a BADGE.　ショウ　文章　ぶんしょう(a sentence).
競,TWO twin BROTHERS are competing (VYING) for the title of who is the older BROTHER. The game is that they must balance a VASE on their head and the one who drops his looses and becomes the younger BROTHER!,Two crazy brothers vying for the guiness records books of stupidity by trying to stand on their heads the longest.,Two teenagers vying to see who stands tallest.
帝,"The crazy sovereign stands up from his throne, wearing nothing but a crown and a towel. That's why they try to keep him locked up in the castle away from the public.","This one is so tricky for me. The key is to remember that the bottom stroke on the standing element takes those little crown ""winglets"" on the right and left. The most effective image might be of QEII (who is quite short) using her crown as a kind of stool. She's standing on her crown rummaging through a high cupboard looking for her apron. I guess the sovereign's servants have the day off.","This are the kanjis where stand looses it's final stroke: No group: 商 商 (#471), 傍 傍 (#1090) Antique group: 嫡 嫡 (#472), 適 適 (#473), 滴 滴 (#474), 敵 敵 (#475), 摘 摘 (#709) and 鏑 鏑 Kazoo group: 識 識 (#521), 職 職 (#887) and 織 織 (#1432) Sovereign group: 帝 帝 (#466), 締 締 (#1440), 諦 諦 (#467) and 蹄 蹄 (#2770) Lad group: 彦彦 (#1852), 顔 顔 (#1853) and 諺 諺 (#2754) Products group: 産 産 (#1681), 薩 薩 (#2962). Story: Think of Rome. Now picture a sovereign standing with a crown and a hanging cloth. Careful! 傍 傍 (#1090)."
諦,The words of the sovereign king inspire the people: never give up! Never surrender! Okay...maybe it wasn't a king.,"Anytime I think to give up Japanese, I remember giving my word that I would become sovereign of Japanese! And I watch あきら to get pumped about it. Note: to give up - 諦める is read あきらめる).",You can go to Wikipedia and hear the words of Japan's sovereign Emperor Hirohito announcing that Japan would be giving up World War Two. (http://en.wikipedia.org/wiki/Gyokuon-h%C5%8Ds%C5%8D under External Links).
童,The juvenile stood on top of his computer and broke it. Noob.,"This one is really easy if you gave 里 (#185) the meaning ""House of the Fathers"". Most juvenile people stand on the house of their fathers, because they can't yet afford their own house.","The movie Zoolander is a little JUVENILE and silly, but I love it nonetheless. Just remember Owen Wilson standing on the desk, hitting the computer like a monkey. (The files are IN the computer - IN the computer...)."
瞳,"In Japanese comics, the eye's of juvenilles all have enormouse pupils.",WARNING: This kanji only means the pupil of the eye. It can be confusing to use a story that has pupil meaning student in it.,"In Japanese comics, the eye's of juveniles all have enormous pupils. WARNING: This kanji only means the pupil of the eye. It can be confusing to use a story that has pupil meaning student in it. (greenapple + codexus)."
鐘,The METAL bell rings to call the JUVENILES to class.,The golden moment for juveniles is when the bell rings at school.,"Remember that show, Saved by the Bell? It had a bunch of juveniles in it, and in one episode they actually tried stealing the bell because it was made of gold!"
商,Four loudmouths trying to make a deal on a vase.,"Slick Willy standing on the motorcycle helmet he's trying to sell you to demonstrate how rugged it is. His legs crash through the top of it and after a moment of awkward silence his mouth opens and says, ""hey, we can still make a deal.""","Why is everyone talking about prostitutes when this is clearly about the Little Mermaid? Ariel made a deal with Ursula because she wanted to stand (remember the lyrics ""Bright young women, sick of swimmin', ready to stand""). She traded her voice (represented by a mouth) for a pair of legs. The hood is the head-scarf that Ursula briefly wears while singing right before the boob jiggling scene (i.e. one of the most traumatic moments of my childhood)."
嫡,Legitmate wifes tend to be women who are antiques in contrast to the young bit of illigitmate fluff on the side.,The woman you'll want to be with even when you're both antique should be your LEGITIMATE WIFE.,"When the legitimate wife finds her husband flirting with another woman, she'll take the valuable antique Ming-vase and whacks him with it over the head. That should teach him a lesson!"
適,"Think of the term from televison ""suitable for all audiences"" to get the sense of the word. What program could be more suitable for the whole family than the ""antiques road(show)"".","It's an antique, but it's still suitable for the road.","Even today, some antique Roman roads are suitable for travel."
滴,DRIPS of WATER were collected in ANTIQUE VASES since the museum had a leaky roof.,You must never let water drip onto antiques.,The antique faucet DRIPS water.
敵,The taskmaster became my enemy for life when he smashed the antique vase holding my wife's ashes.,In Indy Jones movies the enemy is always a taskmaster who is after antiques.,"Link must destroy ANTIQUE vases to replenish items when fighting the TASKMASTER, his main ENEMY."
匕,"To remember the primitive meaning, picture someone sitting on the ground performing Seppuku...with a spoon. http://tinyurl.com/co48k.","Not only is stroke order important, but also be sure to note the direction of a stroke. In both 'spoon' and 'seven', the first stroke is the horizontal one - but here it is written right to left in a downward flick, while in 'seven' it is a strong line from left to right.","I sat on the ground, feeding myself jelly with a spoon."
叱,A kid gets scolded if they don't put the spoon properly into their mouth when eating.,Kids get scolded if they don't open their MOUTH to take their SPOONFUL of medicine.,"Well, how do you picture getting SCOLDED? You listen to that MOUTH while you have to SIT DOWN there and take it."
